id;movieid;companyid
1646;429;60
1647;429;5755
1648;429;7508
1649;429;42498
1650;856;56
1651;856;554
1652;856;9195
1653;856;10217
1654;275601;177
1655;275601;1274
1656;275601;34034
1657;6114;70
1658;6114;441
1659;6114;2019
1660;608;5
1661;608;56
1662;608;441
1663;608;49325
1664;1988;81
1665;1988;163
1666;1988;838
1667;979;616
1668;979;694
1669;979;856
1670;979;1157
1671;979;4176
1672;979;5358
1673;979;19233
1674;2323;13
1675;34544;289
1676;34544;306
1677;34544;444
1678;34544;1645
1679;34544;2528
1680;34544;5585
1681;34544;10893
1682;34544;10908
1683;290098;7036
1684;290098;34725
1685;290098;49096
1686;9023;27
1687;9023;521
1688;411638;78370
1689;411638;85573
1690;288;60
1691;288;893
1692;14161;5
1693;14161;347
1694;14161;1557
1695;14161;10905
1696;1593;289
1697;1593;306
1698;1593;436
1699;1593;2575
1700;950;9383
1701;950;11749
1702;3133;1461
1703;3133;6194
1704;3133;11535
1705;3133;11536
1706;794;306
1707;794;2767
1708;562;306
1709;562;1073
1710;562;1885
1711;14836;10146
1712;14836;11537
1713;22803;5257
1714;22803;5802
1715;22803;12180
1716;402;559
1717;402;5358
1718;402;14723
1719;41439;1632
1720;41439;2061
1721;41439;6680
1722;70981;306
1723;70981;444
1724;70981;1645
1725;70981;19747
1726;10198;2
1727;10198;6125
1728;17692;33
1729;17692;4904
1730;17692;79415
1731;97;2
1732;97;558
1733;13183;4
1734;13183;429
1735;13183;840
1736;13183;923
1737;13183;6194
1738;13183;78685
1742;324852;19233
